"Alternatives","pH","Dissolved.Oxygen","Temperature","TSS","BOD","PO4","NH3","NO3","Chloride","FC","Total.Coliforms","Algal.Count","EC","TDS","Salinity","Alkalinity","pH_normalized","Temperature_normalized","TSS_normalized","BOD_normalized","PO4_normalized","NH3_normalized","NO3_normalized","Chloride_normalized","FC_normalized","EC_normalized","TDS_normalized","Salinity_normalized","Alkalinity_normalized"
"UWTP- BAU",8.25,6.89,28.31,71.4,3.96,0.27,0.22,0.37,263.91,145.57,616.07,100001,620.7075,316.8375,284.22,155.4225,0,0,0,0,0.968379446640316,0.988408037094281,0.98995983935743,0,0.990262772175464,0.526931766341538,0.544327318623785,0.597644637548594,0.534238988793328
"UWTP-25%",8.06,8.37,28.18,60.2,2.91,0.13,0.14,0.25,222.21,76.42,512.01,10001,620.7075,316.8375,284.22,155.4225,0.1005291005291,0.0178817056396147,0.170783775541324,0.334394904458599,0.986824769433465,0.994590417310665,0.994779116465863,0.162244183332036,0.997176513874475,0.526931766341538,0.544327318623785,0.597644637548594,0.534238988793328
"UWTP-50%",7.73,9.04,27.89,53.62,2.67,0.11,0.09,0.16,194.26,62.95,399.19,999,620.7075,316.8375,284.22,155.4225,0.275132275132275,0.0577716643741401,0.271119243671851,0.410828025477707,0.989459815546772,0.998454404945904,0.998393574297189,0.27099058439032,0.998523268765085,0.526931766341538,0.544327318623785,0.597644637548594,0.534238988793328
"UWTP-75%",7.32,10.04,27.62,47.47,2.24,0.09,0.07,0.12,174.2,48.18,311.25,999,620.7075,316.8375,284.22,155.4225,0.492063492063492,0.0949105914718016,0.364897834705703,0.547770700636943,0.992094861660079,1,1,0.349038985292973,1,0.526931766341538,0.544327318623785,0.597644637548594,0.534238988793328
"GDM-BAU",6.8,7.17,26.35,28.78,2.33,7.62,13.01,25.02,120,10050,24200,28000,620.7075,316.8375,284.22,155.4225,0.767195767195767,0.269601100412654,0.649893260140287,0.519108280254777,0,0,0,0.559917516146603,0,0.526931766341538,0.544327318623785,0.597644637548594,0.534238988793328
"GDM-25%",6.74,8.62,25.84,23.93,2.95,5.27,8.93,19.63,59.5,7695,11195,28000,620.7075,316.8375,284.22,155.4225,0.798941798941799,0.339752407152682,0.723848734370235,0.321656050955414,0.309617918313571,0.315301391035549,0.216465863453815,0.795307758151117,0.235457146799283,0.526931766341538,0.544327318623785,0.597644637548594,0.534238988793328
"GDM-50%",6.64,9.76,25.64,18.29,1.9,3.93,6.38,13.75,39,2690,4190,28000,620.7075,316.8375,284.22,155.4225,0.851851851851852,0.36726272352132,0.809850564196401,0.656050955414013,0.486166007905138,0.512364760432767,0.452610441767068,0.87506808808653,0.735866072374828,0.526931766341538,0.544327318623785,0.597644637548594,0.534238988793328
"GDM-75%",6.36,10.89,25.58,11.44,1.85,2.91,4.43,9.53,18.5,435,735,28000,620.7075,316.8375,284.22,155.4225,1,0.375515818431912,0.914303141201586,0.671974522292994,0.620553359683794,0.66306027820711,0.622088353413655,0.954828418021944,0.961325038842931,0.526931766341538,0.544327318623785,0.597644637548594,0.534238988793328
"CWTP-BAU",7.09,9.2,21.85,8.74,1.06,0.05,4.34,10.72,10.45,5346.48,26500,28000,863.27,433.28,388.76,196.42,0.613756613756614,0.888583218707015,0.955474229948155,0.923566878980892,0.997364953886693,0.670015455950541,0.57429718875502,0.98614893782585,0.470266411513105,0,0,0,0
"CWTP-25%",6.98,10.35,21.29,6.89,0.89,0.15,2.99,7.23,7.98,4245.79,16400,28000,682.62,335.73,296.86,166.88,0.671957671957672,0.965612104539202,0.983684050015249,0.977707006369427,0.984189723320158,0.774343122102009,0.714457831325301,0.995759084896117,0.580315382600367,0.392435861229987,0.456011593118923,0.525383032243311,0.384936148032317
"CWTP-50%",6.82,11.25,21.04,5.82,0.82,0.03,2.41,5.03,6.89,1523.57,6300,28000,534,278.98,237.42,138.71,0.756613756613757,1,1,1,1,0.819165378670788,0.80281124497992,1,0.852487847211807,0.715291204136163,0.721297681376215,0.865195517951063,0.752019807140995
"CWTP-75%",6.45,10.84,21.82,8.02,1.07,0.08,1.6,2.88,26.38,806.91,1310,28000,402.94,219.36,213.84,119.68,0.952380952380952,0.892709766162311,0.96645318694724,0.920382165605095,0.993412384716733,0.881761978361669,0.889156626506024,0.924169325344331,0.92414080637324,1,1,1,1
